"Order_ID","Loan_ID","Interest_Rate","Tenure","Repayment_Type","LenDenClub_Score","Disbursement_Date","Disbursed_Amount","Loan_Status","Principal_Received","Interest_Received","Fee_Charges_Deducted","Total_Amount_Received","Profit_Loss","days_past_due","NPA","Loan_Closure"
"36155279400716","LOA-2GECUQLE","35.88","2","Monthly","757","11/03/2026","250","ACTIVE","0","0","0","0","0","0","0","-"
"38129423817853","LOA-QQ4MFDRP","47.76","2","Monthly","712","05/03/2026","250","CLOSED","250","16.41","2.5","266.41","16.41","0","0","10/03/2026"
"90363797160897","L1771587161907830543","18","12","Daily","878","04/03/2026","250","ACTIVE","15.98","1.99","0.88","17.98","0","1","0","-"
"22461365413814","LOA-77D42TAG","36","2","Monthly","771","17/02/2026","250","ACTIVE","125","4.26","1.25","129.26","0","0","0","-"
"20544565394928","LOA-TYUQKLGZ","35.88","3","Monthly","771","17/02/2026","250","ACTIVE","83.33","5.23","0.83","88.56","0","0","0","-"
"19376640668243","LOA-LQNT6ZFL","46.8","3","Monthly","712","17/02/2026","250","CLOSED","250","21.23","2.5","271.23","21.23","0","0","04/03/2026"
"19376640668243","LOA-MMKVL8JY","45.6","3","Monthly","720","17/02/2026","250","ACTIVE","166.67","13.74","1.67","180.42","0","0","0","-"
"ML17646503654621","L1762290673660879620","18","12","Daily","878","09/12/2025","250","ACTIVE","75.7","7.2","6.43","82.88","0","1","0","-"
"ML17646503317151","L1763448657955599418","18","12","Daily","878","09/12/2025","250","ACTIVE","75.7","7.2","6.43","82.88","0","1","0","-"
"ML17646501369032","L1763546100679339998","18","12","Daily","878","03/12/2025","250","ACTIVE","77.34","7.81","6.57","85.13","0","4","0","-"
"ML17646498965057","L1763805809800661233","18","12","Daily","878","06/12/2025","250","ACTIVE","77.78","7.39","6.61","85.16","0","1","0","-"
"ML17428054386605","LOA-NYEE5HN9","47.76","3","Monthly","712","25/03/2025","250","CLOSED","250","32.25","4.25","282.25","32.25","0","0","31/07/2025"
"ML17428054386605","LOA-DST1PZNL","46.8","3","Monthly","720","25/03/2025","250","CLOSED","166.67","18.4","2.83","185.07","-64.93","269","83.33","29/10/2025"
"ML17423870038068","LOA-81LN1PCR","46.8","3","Monthly","712","19/03/2025","250","CLOSED","250","19.8","4.25","269.8","19.8","0","0","02/06/2025"
"ML17420130184456","LOA-DVDBQQ9Z","46.2","3","Monthly","716","17/03/2025","250","CLOSED","250","20.13","4.25","270.13","20.13","0","0","02/06/2025"
"ML17418876479546","LOA-6GN7GAHL","46.8","3","Monthly","712","15/03/2025","250","CLOSED","166.67","14.07","2.83","180.73","-69.27","0","83.33","29/09/2025"
"ML17417693169760","LOA-R62R5KXX","47.4","3","Monthly","712","12/03/2025","250","CLOSED","250","22.41","4.25","272.41","22.41","0","0","20/05/2025"
"ML17416742358327","LOA-8943TBSU","46.8","3","Monthly","720","11/03/2025","250","CLOSED","250","22.4","4.25","272.4","22.4","0","0","31/05/2025"
"ML17416742358327","LOA-K6F1ST2A","46.8","3","Monthly","712","11/03/2025","250","CLOSED","250.01","22.4","4.25","272.41","22.41","0","0","02/06/2025"
"ML17416742358327","LOA-1D3S7765","47.28","3","Monthly","737","11/03/2025","250","CLOSED","250","20.31","4.25","270.31","20.31","0","0","11/04/2025"
"ML17414480500783","LOA-GMS8NQ8A","47.4","3","Monthly","708","10/03/2025","250","CLOSED","0","0","0","0","-250","360","250.01","30/07/2025"
"ML17412373166293","LOA-TXZPUGC2","45.6","3","Monthly","720","06/03/2025","250","CLOSED","250","24.12","4.25","274.12","24.12","0","0","02/06/2025"
"ML17412373166293","LOA-LRA43AXZ","42","3","Monthly","751","10/03/2025","250","CLOSED","0","0","0","0","-250","360","250","30/07/2025"
"ML17412373166293","LOA-FZMUG9UE","46.8","3","Monthly","720","06/03/2025","250","CLOSED","250","24.02","4.25","274.02","24.02","0","0","02/06/2025"
"ML17411493450331","LOA-NAGEAXY1","47.76","3","Monthly","712","10/03/2025","250","CLOSED","250.01","23.28","4.25","273.28","23.28","0","0","27/05/2025"
"ML17411493450331","LOA-DTBC6UUG","46.2","3","Monthly","716","05/03/2025","250","CLOSED","250","23.98","4.25","273.98","23.98","0","0","01/06/2025"
"ML17410656426571","LOA-FGUFJRJB","47.4","3","Monthly","712","07/03/2025","250","CLOSED","250","24.33","4.25","274.33","24.33","0","0","05/06/2025"
"ML17410656426571","LOA-152X42H1","46.8","3","Monthly","720","08/03/2025","250","CLOSED","250","23.98","4.25","273.97","23.97","0","0","05/06/2025"
"ML17410656426571","LOA-L1GQ2HMY","46.2","3","Monthly","716","08/03/2025","250","CLOSED","250","23.02","4.25","273.02","23.02","0","0","02/06/2025"
"ML17410653075626","LOA-NJ27ERDU","48","3","Monthly","751","04/03/2025","250","CLOSED","250","25.42","4.25","275.42","25.42","0","0","02/06/2025"
"ML17410653075626","LOA-RSB94EJ9","48","3","Monthly","720","07/03/2025","250","CLOSED","250","24.42","4.25","274.42","24.42","0","0","02/06/2025"
"ML17410653075626","LOA-1P9BGT74","48","3","Monthly","744","05/03/2025","250","CLOSED","250","25.08","4.25","275.09","25.09","0","0","02/05/2025"
"ML17410649026337","LOA-YEPHAH3P","48","3","Monthly","771","04/03/2025","250","CLOSED","0","0","0","0","-250","0","250.01","30/07/2025"
"ML17410649026337","LOA-1JUH4A54","48","3","Monthly","771","04/03/2025","250","CLOSED","250","25.42","4.25","275.42","25.42","0","0","31/05/2025"
"ML17410649026337","LOA-EHC4GMMB","48","3","Monthly","771","04/03/2025","250","CLOSED","250","25.54","4.25","275.54","25.54","0","0","31/05/2025"
"ML17409849632496","LOA-ZGUJJ86G","47.04","3","Monthly","737","04/03/2025","250","CLOSED","250.01","24.95","4.25","274.95","24.95","0","0","02/06/2025"
"ML17409847394576","LOA-F7QTJJ42","47.28","3","Monthly","737","03/03/2025","250","CLOSED","250.01","23.78","4.25","273.79","23.79","0","0","25/04/2025"
"ML17409847394576","LOA-7VVQUUFR","47.76","3","Monthly","712","04/03/2025","250","CLOSED","250.01","25.27","4.25","275.27","25.27","0","0","30/05/2025"
"ML17409842781234","LOA-M32UZSGU","48","3","Monthly","744","03/03/2025","250","CLOSED","250","25.75","4.25","275.75","25.75","0","0","02/06/2025"
"ML17409133807685","LOA-E31B4FG6","46.8","3","Monthly","712","03/03/2025","250","CLOSED","250","25","4.25","275","25","0","0","23/05/2025"
"ML17409133807685","LOA-AAQMRAC3","46.8","3","Monthly","712","03/03/2025","250","CLOSED","250","25","4.25","275","25","0","0","29/05/2025"
"ML17409133807685","LOA-HSNFTA7R","45.6","3","Monthly","720","03/03/2025","250","CLOSED","250","24.25","4.25","274.25","24.25","0","0","02/06/2025"
"ML17409133807685","LOA-4RE4T9RM","45.6","3","Monthly","720","03/03/2025","250","CLOSED","250.01","24.25","4.25","274.26","24.26","0","0","02/06/2025"
"ML17409133807685","LOA-Z8SK6ZTL","46.8","3","Monthly","712","03/03/2025","250","CLOSED","250","25","4.25","275","25","0","0","02/06/2025"
"ML17409133807685","LOA-Q8A8Q2PV","47.4","3","Monthly","716","03/03/2025","250","CLOSED","250","25.5","4.25","275.5","25.5","0","0","03/06/2025"
"ML17408044628446","LOA-UFF4Q6Q6","48","3","Monthly","751","01/03/2025","250","CLOSED","250","24.53","4.25","274.53","24.53","0","0","30/04/2025"
"ML17408044628446","LOA-NP55GXXM","48","3","Monthly","737","01/03/2025","250","CLOSED","250","26.42","4.25","276.42","26.42","0","0","26/05/2025"
"ML17407205077545","LOA-UM2PHJFN","48","3","Monthly","771","28/02/2025","250","CLOSED","250","26.75","4.25","276.75","26.75","0","0","01/06/2025"
"ML17407205077545","LOA-M8GM98PK","48","3","Monthly","751","01/03/2025","250","CLOSED","250","25.12","4.25","275.12","25.12","0","0","26/03/2025"
"ML17405446376888","LOA-HQD2XTDJ","48","3","Monthly","751","27/02/2025","250","CLOSED","250","27.08","4.25","277.08","27.08","0","0","29/05/2025"
